#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS PTDY  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi  hPa    ft
2018 02 23 17 00 210 10.0 11.0   1.7    15    MM  MM 1023.7   6.4   8.5    MM   MM -2.8    MM
2018 02 23 16 00 190  8.0 10.0   1.7    16    MM  MM 1024.5   6.5   8.3    MM   MM -2.9    MM
2018 02 23 15 00 180  7.0  9.0   1.7    16    MM  MM 1025.4   6.2   8.2    MM   MM -2.8    MM
2018 02 23 14 00 190  6.0  8.0   1.8    16    MM  MM 1026.5   6.5   8.1    MM   MM -2.6    MM
2018 02 23 13 00 180  4.0  5.0   1.9    14    MM  MM 1027.4   6.6   8.2    MM   MM -2.1    MM
2018 02 23 12 00 180  4.0  5.0   1.7    16    MM  MM 1028.2   6.5   8.3    MM   MM -1.8    MM
2018 02 23 11 00 190  4.0  5.0   1.7    14    MM  MM 1029.1   6.4   8.3    MM   MM -1.3    MM
2018 02 23 10 00 190  3.0  4.0   1.7    16    MM  MM 1029.5   6.2   8.3    MM   MM -1.1    MM
2018 02 23 09 00 200  3.0  4.0   1.9    15    MM  MM 1030.0   6.0   8.4    MM   MM -0.5    MM
2018 02 23 08 00 190  3.0  4.0   1.7    16    MM  MM 1030.4   5.8   8.4    MM   MM +0.0    MM
2018 02 23 07 00 180  3.0  4.0   1.6    15    MM  MM 1030.6   5.8   8.5    MM   MM +0.5    MM
2018 02 23 06 00 180  3.0  4.0   1.7    16    MM  MM 1030.5   5.6   8.4    MM   MM +0.7    MM
2018 02 23 05 00 180  1.0  2.0   1.7    17    MM  MM 1030.4   5.4   8.3    MM   MM +0.9    MM
2018 02 23 04 00 200  1.0  2.0   1.7    16    MM  MM 1030.1   5.3   8.3    MM   MM +0.8    MM
2018 02 23 03 00 190  1.0  2.0   1.6    17    MM  MM 1029.8   5.1   8.4    MM   MM +0.5    MM
2018 02 23 02 00 160  0.0  1.0   1.6    17    MM  MM 1029.5   5.0   8.4    MM   MM +0.5    MM
2018 02 23 01 00 290  0.0  1.0   1.7    17    MM  MM 1029.3   6.6   8.4    MM   MM +0.3    MM
2018 02 23 00 00 280  1.0  2.0   1.6    17    MM  MM 1029.3   6.1   8.5    MM   MM +0.3    MM
2018 02 22 23 00 290  1.0  3.0   1.5     8    MM  MM 1029.0   5.8   8.7    MM   MM -0.1    MM
2018 02 22 22 00 140  1.0  2.0   1.7     8    MM  MM 1029.0   5.7   8.7    MM   MM -0.1    MM
2018 02 22 21 00 150  1.0  3.0   1.6     9    MM  MM 1029.0   5.4   8.6    MM   MM +0.3    MM
2018 02 22 20 00  90  1.0  2.0   1.6     8    MM  MM 1029.1   5.0   8.4    MM   MM +1.0    MM
2018 02 22 19 00  60  2.0  3.0   1.6     8    MM  MM 1029.1   4.9   8.4    MM   MM +1.5    MM
2018 02 22 18 00  70  2.0  3.0   1.7     8    MM  MM 1028.7   4.8   8.3    MM   MM +1.5    MM
2018 02 22 17 00  30  3.0  4.0   1.8     8    MM  MM 1028.1   4.6   8.3    MM   MM +1.7    MM
2018 02 22 16 00 350  3.0  4.0   1.7     8    MM  MM 1027.6   4.9   8.3    MM   MM   MM    MM
2018 02 22 15 00 300  3.0  4.0   2.0    10    MM  MM 1027.2   4.3   8.2    MM   MM   MM    MM
2018 02 22 14 00 260  1.0  3.0   1.8     9    MM  MM 1026.4   3.9   8.0    MM   MM   MM    MM
2018 02 22 03 00  60  1.0  2.0   1.2    13    MM  MM 1020.5   3.8   8.3    MM   MM -2.1    MM
2018 02 22 02 00  60  1.0  2.0   1.2    13    MM  MM 1021.0   4.2   8.4    MM   MM -1.8    MM
2018 02 22 01 00 320  1.0  3.0   1.3    13    MM  MM 1021.8   4.3   8.4    MM   MM -1.6    MM
2018 02 22 00 00 320  3.0  4.0   1.3    14    MM  MM 1022.6   4.3   8.3    MM   MM -1.2    MM
2018 02 21 23 00 340  2.0  4.0   1.3    14    MM  MM 1022.8   4.3   8.4    MM   MM -1.5    MM
2018 02 21 22 00  40  2.0  2.0   1.3    14    MM  MM 1023.4   4.1   8.4    MM   MM -1.1    MM
2018 02 21 21 00  80  4.0  6.0   1.4    14    MM  MM 1023.8   3.7   8.4    MM   MM -1.4    MM
2018 02 21 20 00  60  6.0  8.0   1.4    14    MM  MM 1024.3   3.4   8.4    MM   MM -1.3    MM
2018 02 21 19 00 320  7.0 10.0   1.5    14    MM  MM 1024.5   5.6   8.4    MM   MM -1.5    MM
2018 02 21 18 00 210  6.0  8.0   1.4    14    MM  MM 1025.2   4.6   8.2    MM   MM -1.4    MM
2018 02 21 17 00 220  6.0  9.0   1.3    14    MM  MM 1025.6   4.6   8.3    MM   MM -0.9    MM
2018 02 21 16 00 190  5.0  7.0   1.3    14    MM  MM 1026.0   4.5   8.3    MM   MM -1.2    MM
2018 02 21 15 00 180  3.0  4.0   1.3    14    MM  MM 1026.6   4.2   8.2    MM   MM -0.6    MM
2018 02 21 14 00 180  3.0  5.0   1.3    14    MM  MM 1026.5   3.9   8.1    MM   MM -0.8    MM
2018 02 21 13 00 170  2.0  3.0   1.4    14    MM  MM 1027.2   3.9   8.1    MM   MM -0.4    MM
2018 02 21 12 00 140  2.0  4.0   1.4    14    MM  MM 1027.2   3.7   8.0    MM   MM -0.5    MM
2018 02 21 11 00 140  2.0  4.0   1.3    14    MM  MM 1027.3   3.8   8.1    MM   MM -0.8    MM
2018 02 21 10 00 110  3.0  4.0   1.3    14    MM  MM 1027.6   3.9   8.1    MM   MM -0.3    MM
2018 02 21 09 00 100  4.0  5.0   1.1    14    MM  MM 1027.7   3.9   8.1    MM   MM +0.1    MM
2018 02 21 08 00 110  4.0  5.0   1.1    14    MM  MM 1028.1   4.0   8.2    MM   MM +1.5    MM
2018 02 21 07 00  90  4.0  5.0   1.1    15    MM  MM 1027.9   4.1   8.2    MM   MM +1.8    MM
2018 02 21 06 00  90  4.0  5.0   1.0    14    MM  MM 1027.6   4.2   8.3    MM   MM +2.0    MM
2018 02 21 05 00  70  5.0  6.0   1.1    15    MM  MM 1026.6   4.2   8.5    MM   MM +1.6    MM
2018 02 21 04 00  70  4.0  6.0   1.1    14    MM  MM 1026.1   4.3   8.6    MM   MM +1.9    MM
2018 02 21 03 00  60  2.0  3.0   1.0    14    MM  MM 1025.6   4.0   8.6    MM   MM +2.0    MM
2018 02 21 02 00  10  2.0  3.0   1.1    15    MM  MM 1025.0   3.7   8.7    MM   MM +1.9    MM
2018 02 21 01 00 350  2.0  2.0   1.1    14    MM  MM 1024.2   3.9   8.6    MM   MM +1.5    MM
