#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS PTDY  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi  hPa    ft
2018 01 24 15 00 260  4.0  6.0   3.6    12    MM  MM 1002.7   8.1   9.8    MM   MM +0.9    MM
2018 01 24 14 00 250  5.0  6.0   3.8    11    MM  MM 1002.6   8.1   9.9    MM   MM +0.9    MM
2018 01 24 13 00 260  6.0  8.0   4.1    11    MM  MM 1001.8   8.2   9.9    MM   MM +0.1    MM
2018 01 24 12 00 250 10.0 13.0   4.1    11    MM  MM 1001.8   7.7   9.8    MM   MM +1.0    MM
2018 01 24 11 00 210  4.0  6.0   4.5    11    MM  MM 1001.7   9.3   9.8    MM   MM +0.8    MM
2018 01 24 10 00 190  5.0  6.0   4.5    11    MM  MM 1001.7   9.3   9.8    MM   MM +1.4    MM
2018 01 24 09 00 130 11.0 15.0   4.5    10    MM  MM 1000.8   8.5   9.8    MM   MM +0.5    MM
2018 01 24 08 00 130  9.0 12.0   4.3    11    MM  MM 1000.9   9.1   9.7    MM   MM +0.1    MM
2018 01 24 07 00 120 10.0 13.0   4.9    12    MM  MM 1000.3   9.1   9.7    MM   MM -1.1    MM
2018 01 24 06 00 120  8.0 11.0   4.5    11    MM  MM 1000.3   9.3   9.7    MM   MM -1.4    MM
2018 01 24 05 00 120 10.0 12.0   4.3    11    MM  MM 1000.8   8.9   9.7    MM   MM -1.7    MM
2018 01 24 04 00 110  8.0  9.0   4.5    10    MM  MM 1001.4   9.7   9.6    MM   MM -1.9    MM
2018 01 24 03 00 120  7.0  9.0   4.0    10    MM  MM 1001.7   9.6   9.7    MM   MM -2.4    MM
2018 01 24 02 00 120  5.0  7.0   4.2    10    MM  MM 1002.5   9.9   9.8    MM   MM -1.7    MM
2018 01 24 01 00 150  5.0  6.0   3.7    11    MM  MM 1003.3   9.9   9.8    MM   MM -1.0    MM
2018 01 24 00 00 170  6.0  7.0   4.0    10    MM  MM 1004.1  10.0   9.8    MM   MM -0.3    MM
2018 01 23 23 00 150  5.0  7.0   3.9    10    MM  MM 1004.2  10.1   9.6    MM   MM -0.5    MM
2018 01 23 22 00 180  6.0  7.0   4.0    10    MM  MM 1004.3  10.2   9.6    MM   MM -0.6    MM
2018 01 23 21 00 170  7.0  9.0   4.6    10    MM  MM 1004.4  10.1   9.6    MM   MM -0.3    MM
2018 01 23 20 00 190  7.0 10.0   4.8    10    MM  MM 1004.7  10.5   9.6    MM   MM +0.1    MM
2018 01 23 19 00 190  7.0 10.0   5.0    10    MM  MM 1004.9  10.1   9.6    MM   MM -0.5    MM
